ID,total_amount
0,7.5
1,15.352000000000052
2,17.758000000000056
3,8.7
4,7.8
5,9.119999999999994
6,11.606
7,15.359999999999994
8,8.700000000000003
9,12.540000000000013
10,20.357999999999997
11,14.75
12,26.756
13,23.752
14,10.349999999999996
15,5.800000000000003
16,41.46999999999999
17,12.3
18,6.5999999999999845
19,6.0
20,19.5
21,13.708000000000009
22,7.4
23,46.86799999999996
24,23.900000000000006
25,8.5
26,16.002000000000002
27,16.9
28,55.007999999999996
29,4.6
30,30.053999999999995
31,7.996
32,21.652
33,18.724
34,11.4
35,17.052
36,8.3
37,18.1
38,5.152
39,8.250000000000004
40,9.39
41,9.216
42,11.76000000000002
43,49.859999999999985
44,19.1
45,6.600000000000003
46,11.75
47,6.7
48,6.804000000000002
49,34.944
50,8.7
51,84.8
52,7.927999999999999
53,7.3
54,9.4
55,7.1439999999999655
56,11.344
57,6.949999999999994
58,9.350000000000104
59,14.119999999999994
60,5.55
61,25.7
62,45.36
63,5.552000000000001
64,12.758000000000006
65,8.800000000000002
66,14.159999999999958
67,20.4
68,11.900000000000002
69,17.868000000000002
70,8.2
71,32.7
72,8.75
73,13.856000000000012
74,7.6
75,11.564000000000002
76,12.038000000000002
77,11.799999999999969
78,8.149999999999933
79,29.15999999999996
80,15.9
81,11.8
82,7.559999999999991
83,9.6
84,5.75
85,17.300000000000004
86,19.8
87,10.2
88,12.468
89,20.1
90,16.6
91,22.15999999999997
92,22.686
93,8.888
94,8.760000000000044
95,7.8
96,21.3
97,9.2
98,18.279999999999998
99,10.758000000000006
100,7.586
101,27.359999999999996
102,12.959999999999743
103,8.6
104,25.5
105,7.599999999999999
106,18.235999999999997
107,17.351999999999997
108,46.867999999999995
109,8.450000000000003
110,6.357999999999982
111,7.247999999999999
112,31.9
113,6.700000000000001
114,15.232
115,12.25
116,6.099999999999998
117,52.79999999999988
118,5.6
119,9.12
120,10.187999999999999
121,11.0
122,5.900000000000002
123,29.55
124,8.8
125,8.6
126,16.7
127,9.9
128,6.800000000000002
129,9.359999999999973
130,11.75
131,55.84599999999999
132,42.35000000000001
133,8.14999999999998
134,11.75
135,18.589999999999996
136,17.760000000000094
137,15.2
138,9.36
139,9.107999999999999
140,7.6
141,6.927999999999999
142,16.328
143,16.91199999999997
144,11.1
145,9.902000000000001
146,25.90799999999998
147,8.14999999999998
148,9.5
149,15.950000000000031
150,16.4
151,9.194000000000006
152,8.76000000000003
153,32.760000000000026
154,10.2
155,10.800000000000002
156,22.848000000000006
157,24.972
158,6.643999999999994
159,25.1
160,14.300000000000002
161,5.6
162,11.4
163,19.4
164,12.222000000000001
165,8.15000000000001
166,9.700000000000001
167,8.2
168,9.000000000000004
169,8.154000000000034
170,8.3
171,61.826
172,17.149999999999913
173,21.818
174,36.7
175,14.4
176,4.300000000000001
177,8.3
178,9.2
179,5.760000000000053
180,9.3
181,9.4
182,6.93
183,16.3
184,14.343999999999998
185,51.008
186,7.850000000000028
187,8.159999999999927
188,58.82000000000001
189,9.94999999999997
190,11.2
191,39.368
192,5.946000000000001
193,13.2
194,20.1
195,6.800000000000002
196,12.232
197,19.951999999999998
198,6.5
199,10.599999999999998
200,9.2
201,11.619999999999987
202,13.3
203,12.400000000000002
204,7.4
205,10.9
206,9.303999999999998
207,13.0
208,8.76000000000008
209,11.75
210,9.350000000000104
211,23.000000000000004
212,16.979999999999997
213,10.650000000000015
214,7.799999999999999
215,16.560000000000034
216,16.3
217,33.402
218,13.1
219,12.959999999999846
220,9.3
221,6.8
222,18.349999999999994
223,7.6
224,8.15999999999989
225,8.15999999999998
226,20.868000000000087
227,7.3
228,25.904000000000003
229,61.040000000000006
230,71.7
231,14.1
232,12.7
233,11.149999999999961
234,14.75
235,17.76000000000004
236,40.06
237,8.76000000000007
238,9.5
239,7.6
240,5.7
241,19.82
242,9.100000000000012
243,19.000000000000004
244,17.5
245,8.800000000000002
246,16.804
247,17.268
248,18.359999999999967
249,21.34799999999999
250,7.750000000000002
251,7.900000000000001
252,71.634
253,5.300000000000002
254,8.154000000000016
255,8.6
256,17.952
257,21.749999999999993
258,10.000000000000002
259,12.081999999999997
260,14.300000000000002
261,11.000000000000002
262,7.879999999999998
263,7.799999999999997
264,6.300000000000001
265,28.852000000000004
266,12.960000000000003
267,12.95999999999999
268,26.0
269,6.1
270,14.4
271,11.3
272,16.549999999999944
273,31.549999999999994
274,12.100000000000003
275,6.6519999999999895
276,64.90600000000002
277,11.180000000000001
278,13.560000000000105
279,14.200000000000003
280,10.559999999999999
281,15.9
282,11.0
283,15.830000000000002
284,25.069999999999986
285,11.400000000000002
286,11.8
287,11.149999999999945
288,12.3
289,5.3
290,8.352
291,7.299999999999999
292,9.2
293,19.09
294,10.700000000000001
295,10.760000000000026
296,18.858
297,12.2
298,12.95000000000013
299,14.244
300,8.474
301,11.440000000000001
302,14.760000000000034
303,6.504000000000002
304,7.9
305,7.168000000000009
306,9.949999999999923
307,8.15999999999989
308,11.752
309,12.500000000000004
310,15.228
311,50.56
312,14.780000000000001
313,13.708000000000009
314,11.100000000000003
315,8.100000000000001
316,5.4
317,49.294
318,18.6
319,7.300000000000002
320,7.2
321,27.359999999999996
322,25.2
